Circuit Name,Active Spin Orbitals,Naive CX Count,Naive CX Depth,Pairwise CX Count,Pairwise CX Depth,Set CX Count,Set CX Depth,Set Compile Time
H2_BK_sto3g,4,46,44,30,30,18,16,0.025837
H2_BK_631g,8,530,519,334,294,180,172,0.146444
H4_BK_sto3g,8,1172,1140,752,559,494,432,0.126792
LiH_BK_sto3g,12,6220,6021,3670,2880,2004,1731,0.75923
NH_BK_sto3g,12,6084,5924,3666,2694,2164,1816,0.488683
BeH2_BK_sto3g,14,16666,15787,9970,7025,6313,4564,1.427998
CH2_BK_sto3g,14,16222,15510,9774,6844,6620,4767,1.59458
H2O_BK_sto3g,14,11426,11150,6682,4789,4045,3333,1.169732
H4_BK_631g,16,15500,15059,9200,7017,4828,4163,1.763885
H8_BK_sto3g,16,31664,30293,19444,13170,12752,8701,3.384463
NH3_BK_sto3g,16,29026,27991,17600,11848,10554,7599,3.415009
C2_BK_sto3g,20,91352,87857,54074,33972,33426,22976,11.523249
HCl_BK_sto3g,20,8216,8190,4804,2790,2418,2180,1.311201
N2_BK_sto3g,20,65840,63333,37894,24740,23699,16949,9.127018
HNO_BK_sto3g,22,83550,80528,48570,31752,30626,21629,12.374831
LiH_BK_631g,22,40370,39044,23218,17385,11304,10035,5.462858
NH_BK_631g,22,120758,115255,72984,46605,46126,30171,14.535509
H2CO_BK_sto3g,24,159784,153587,94528,59930,61077,39780,25.866039
BeH2_BK_631g,26,138970,131538,80982,51887,44407,31804,20.851826
CH2_BK_631g,26,209858,197783,126764,78624,78042,50952,32.324573
H2O_BK_631g,26,275886,260785,167680,100203,110028,66220,57.470732
C2H4_BK_sto3g,28,406564,387606,245500,146635,164516,100111,102.332898
CO2_BK_sto3g,30,355346,342396,205758,124080,126965,83488,87.018334
HCl_BK_631g,30,545900,521525,328636,190301,220975,133535,139.949507
